title,original_name,body,rating,iframe,ganre,img,category,data,length,actor,director,country,quolity,translation,trailer
Сын 2 сезон онлайн в HD,The Son,"Постаревший Эли МакКалоу, заставший времена основания Техаса, прожил тяжёлую жизнь. Старик видел кровавые трудности становления Америки. В юности мужчина потерял многих родных после налёта индейцев и сам побывал пленником команчей. Пережив эти испытания, герой масштабного эпоса о поколениях примечательной американской семьи «Сын 2 сезон» стал зажиточным скотоводом. Проанализировав реалии, постепенно фермер понимает, что сельхоз доходы сильно понизились, и деньги в нынешней ситуации необходимо рубить на нефти.
Предприимчивый житель США ищет спонсоров, поспособствующих поиску месторождений «чёрного золота». Планам бизнесмена мешают мексиканские повстанцы, перешедшие границу. Они разоряют ранчо грингос, жгут собственность англоязычных граждан, желая вернуть штат Мексике. К этим проблемам коммерсанта, основавшего ряд нефтяных вышек, добавляются вездесущие индейцы, готовые снять с пришедших на их земли белых скальпы. Бледнолицый, думающий о семье, собирается построить нефтяную империю ради будущего детей. Возведение такой компании неизменно замешано на крови, предательстве, сложных интригах.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/01a14d41e724ec78e29c04714fff198d/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">LostFilm</div> </div>","Вестерн,Сериалы 2019,Драма,",http://hdkino.vip/_dr/5/48705295.jpg,Serials,2019,45 мин.,"Пирс Броснан, Генри Гаррет, Занн МаКларнон, Татанка Минс, Паола Нуньес, Элизабет Фрэнсис, Натан Крус, Шэйн Грэхэм, Джесс Вейкслер, Электра Авеллан, Калеб Бёрджесс, Сидни Лукас, Шериф Хачис","Кевин Даулинг, Джереми Уэбб, Джон Дэвид Коулз",США,,LostFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/VonLMVPPUvI"" width=""100%""></iframe>"
911 служба спасения 2 сезон онлайн в HD,9-1-1,"Бравым парням нелегко в момент несения службы, они постоянно рискуют, спасая жизни неудачникам. Охранники – это сердце и мозг, по первому звонку, собравшись, ребята мчатся выручать угодивших в беду страдальцев, картина «911 служба спасения» покажет, как протекают будни смельчаков. Всегда готовые  дарить радость и покой юноши, не позволяют несчастным раскисать, давая дельные советы. Сосредоточенные и сконцентрированные малые мгновенно оценивают обстановку, осматривая зорким пытливым взглядом территорию, даже в выходные дни наводят порядки, если видят нарушения.
Отзывчивые защитники на страже всегда, они быстро тушат пожары или оказывают экстренную помощь, с ними любая беда нестрашна, достойно, четко в указанный миг поборники устранят неприятность. Без экстремальных служб обойтись нельзя, в любую непогоду, исповедники добра спешат спасти бедняг, при этом успевают решать проблемы не только клиентов, но собственные. С доблестью и благородством  в душе парни упраздняют угрозы и являются примером для подражания. Вероятно, они очень любят профессию, если не боятся опасностей, врывающихся прямо или косвенно в их жизнь. Строгие и деловые герои оберегают народ от бед. Принося огромную пользу обществу, работники срочной помощи часто остаются незамеченными.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/94b5dfe8fc4066362a71d93e62c555e5/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">LostFilm</div> </div>","Сериалы 2018,Драма,Триллер,",http://hdkino.vip/_dr/3/66156567.jpg,Serials,2018,45 мин.,"Анджела Бассетт, Питер Краузе, Оливер Старк, Конни Бриттон, Аиша Хайндс, Дженифер Лав Хьюит, Кеннет Чои, Рокмонд Данбар, Мэриетт Хартли, Коко Браун, Корина Мессиа, Маркантони Реис, Алекс Лойназ",Брэдли Букер,США,,LostFilm / BaibaKo / IdeaFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/CElHUbFJ5CM"" width=""100%""></iframe>"
Доказанная невиновность 1 сезон онлайн в HD,Proven Innocent,"Система правосудия далека от совершенства в этом убедилась Мадлен, когда она с братом прошла обвиняемой по уголовному делу. Невыносимая участь терзает душу и совесть несчастной, огромная боль не дает покоя, ей хочется испробовать все способы добиться справедливости, картина «Доказанная невиновность» покажет, легким ли будет путь. Девушка в первую очередь жаждет доказать насколько отвратительна работа прокуроров, адвокатов, следователей, они без сожаления допускают приведение в действие не правдивых приговоров.
Показательной ошибкой было обвинение Скотт и ее братишки. Повзрослев, героиня намерена бороться с системой и находить доводы усомнится юристов, когда становится очевидным, что подсудимый не причастен к делу. Скоро у энтузиастки появляются враги, оппонентам не нравиться, что она путает карты, правоведы не желают долго возиться с запутанными историями, им проще бросить в темницу любого подходящего объекта, чем пыхтеть и выискивать истинный мотив прав нарушителей. Скольких людей удастся оправдать благодаря действиям смелой леди? Как будет реагировать на дерзость особы прокурор упекший неудачницу в застенки? К сожалению часто людей лишали свободы только за то, что не понравились судье.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/dfe1fcea33e7e6b5e500b9370365e760/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> Coldfilm</div> </div>","Сериалы 2019,Драма,",http://hdkino.vip/_dr/4/75370845.jpg,Serials,2019,60 мин.,"Рашель Лефевр, Кэйтлин Менер, Лори Холден, Бен Мартен, Катрин Лидстоун, Кэйси Таттон, Элэйн Хендрикс, Надя Симмс","Патрисия Ригген, Анна Мастро",США,,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/CpKW98RXlok"" width=""100%""></iframe>"
Враг внутри 1 сезон онлайн в HD,The Enemy Within,"Однажды выдающемуся агенту ЦРУ Джессике Шепард позвонил аноним. Враг потребовал рассекретить нескольких её коллег, работающих под прикрытием. Голос в трубке подчеркнул, что убийцы сейчас держат дочь оперативницы на прицеле. Не будет информации - улыбчивую школьницу пристрелят. Незнакомец прислал видеоподтверждение слежки за потенциальной жертвой на смартфон. Запаниковавшая мать заплакала, умоляла пощадить юную жизнь и срывающимся голосом сдала требуемые имена сотрудников. Не зная мотивов женщины, её начальство подумало, что героиня сериала «Враг внутри 1 сезон» - госизменница.
Возле школы дочери предательницу арестовали, прижав к капоту и инкриминировав шпионаж, а также антиамериканский заговор. Задержанная успела сказать дочери «Я тебя люблю», дождавшись аналогичного признания. Бывшая легенда законников считается врагом родины и отбывает срок. Сидит в сверхохраняемой тюрьме, много времени проводя закованной в цепи. Опытный ФБРовец Китон, сомневаясь в поступке, вынужден вызволить заключённую. Она - лучший спец, без её помощи невозможно поймать особо опасного бандита. Женщина отлично знает этого уголовника и хочет отомстить злодею за разрушенную жизнь и репутацию.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/3b06679fa190ae035bd5daed15651a9b/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> Coldfilm</div> </div>","Сериалы 2019,Драма,",http://hdkino.vip/_dr/4/48231307.jpg,Serials,2019,44 мин.,"Джеймс Карпинелло, Моррис Честнат, Кассандра Фриман, Раза Джеффри, Ной Бин, Дженнифер Карпентер, Келли Гарнер, Корал Пенья, Ноа Миллс","Марисоль Торрес, Чарльз Бисон, Марк Пеллингтон",США,,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/Ng0h7RWASY0"" width=""100%""></iframe>"
Выкуп 3 сезон онлайн в HD,Ransom,"В городе полно преступников, здания не в силах защитить горожан, они, попадая под прицел злодеев, гибнут или становятся заложниками. Бомон знает, как защитить несчастных он получил прекрасные знания в области медицины, юриспруденции и программирования, поэтому согласен всячески содействовать несчастным, картина  «Выкуп» покажет, многих ли обезопасит поборник добра. Сколотив вокруг себя преданную команду, Эрик борется за справедливость, он намерен выбить всех недоброжелателей, лишь бы люду жилось спокойно. Труд выматывает спасателя, он уставший и измученный готов бежать вперед, дабы вовремя успеть.
Когда же, наконец, тишина разольется над городком и страдальцы перестанут бояться появиться на улицах. Каждый стремится, чтобы жестокая реальность ушла, а счастливые дни остались навсегда.  Сострадательный малый, забыв о себе, спасает неудачников угодивших в западню, он терпеть не может, когда нарушают закон. Достаточно ли сил у бригады побороть жестокость, лживые противники не позволяют претворить мечту в реальность, адские изваяния подготавливаются к борьбе, они разминают крылья, но защитники, отступать, не намерены, осторожными движениями ребята приближаются к цели.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/dbc6f8dec4a8615a38043d90897a1cfd/iframe?season=3""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> Coldfilm</div> </div>","Боевик,Сериалы 2019,Драма,Криминал,Триллер,",http://hdkino.vip/_dr/4/62416578.jpg,Serials,2019,44 мин.,"Люк Робертс, Сара Грин, Назнин Контрактор, Брэндон Джей МакЛарен, Дженесса Грант, Анна Хопкинс, Нил Напье, Александра Ордолис","Франсуа Вель, Джеймс Дженн","Канада, Франция, США, Германия",,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/3AEaUTyVWQg"" width=""100%""></iframe>"
Зачарованные 1 сезон онлайн в HD,Charmed,"Мать трех девочек ждала трагическая смерть, была ли это случайность понять сложно, но после страшного события сестры поняли, что наделены некой силой. Получив дар, девчонки не станут прежними, важно, чтобы покой не был утрачен, картина «Зачарованные» покажет, как будут справляться героини с новым ощущением. Не сдадут ли нервы у ведьм, ведь они могут, то чего лишен обычный человек, следовательно, в их власти совершать магические ритуалы, посылать своих лакеев исполнять задания. На какой стороне окажутся барыши, что выберут, служить добру или злу. Произнесенные слова станут горячим костром, значит стоит быть осторожными в речах и поступках.
Научатся ли знать меру красавицы, ведь желаний множество, а тормоза порой, вовремя не срабатывают. Не превратятся ли в змей, разящих ядом. Неужели дар перешел по крови, не исключено, они унаследовали от матушки, тогда как правильно распорядится умением, дабы не вредить окружающим и себе. Легко шагать по судьбе приятно, а держать ответ за деяния сложно, слишком высоко поднятая голова может слететь с плеч в миг. Главное, чтобы шабаш не получился печальным, смелые и резвые умелицы должны помнить, что могут превратиться в изгоев. Обладательницы силы рискуют разбить сердца, запятнать души и исковеркать судьбы, о такой ли доле грезили мечтательницы?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/2904f91ec8388f37193ba66683d11783/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">LostFilm</div> </div>","Фэнтези,Сериалы 2018,Драма,",http://hdkino.vip/_dr/4/35689137.jpg,Serials,2018,42 мин.,"Мелони Диас, Мадлен Манток, Сара Джеффери, Руперт Эванс, Эллен Тамаки, Сер’Дариус Блэйн, Чарльз Гиллеспи, Джером Ю, Натали Холл","Ванесса Парис, Майкл А. Алловиц, Майкл Ланж",США,,LostFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/x3ZO-7g-14I"" width=""100%""></iframe>"
Бруклин 9-9 6 сезон онлайн в HD,Brooklyn Nine-Nine,"Парень – детектив, однако исполняет обязанности вяло и без рвений, руководитель заметил, что подчиненный не идеален и решил заняться его перевоспитанием. Видя в подопечном слабости, наставник ищет подход, картина «Бруклин 9-9» покажет, научит ли администратор служивого с уважением относиться к своей должности. Как изменить юношу в лучшую сторону, привить ответственность, чтобы процесс был легче, начальник определяет отрезок времени на перевоспитание, но будет ли предложенный шаблон мотиватором для испорченного малого. Командир желает создать позитивный образ будущего паренька, чтобы он рос и становился настоящим профессионалом.
Когда же будет виден результат? Вскоре в молодом человеке просыпается энергия, теперь руки исполнителя не опускаются перед важными делами. Постепенно шефу удается укрепить в сознании сыщика образ желаемых достижений, большого эффекта сразу не наблюдается, но правильных шагов в нужном направлении совершено немало. Система контроля налажена, патрон согласен даже ставить отметки за правильные действия опера. При такой поддержке слуга закона быстро стал меняться, задействовав все органы чувств, юноша включился в работу, он начал анализировать успехи, задавать себе вопросы. Будет ли герой благодарен учителю за заботу и поддержку, каких успехов сможет в будущем добиться детектив?
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/41bc0d4e532ebb7bc867e935cb13046c/iframe?season=6""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> Newstudio</div> </div>","Сериалы 2019,Комедия,Криминал,",http://hdkino.vip/_dr/4/18233206.jpg,Serials,2019,23 мин.,"Энди Сэмберг, Стефани Беатрис, Терри Крюс, Мелисса Фумеро, Джо Ло Трульо, Челси Перетти, Дирк Блокер, Джоэл Маккиннон Миллер, Андре Брогер, Паттон Освальд, Дин Винтерс, Крэйг Робинсон","Дин Холлэнд, Крейг Зиск, Майкл МакДональд",США,,Newstudio,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/GnD_WQmWp3Y"" width=""100%""></iframe>"
Акт 1 сезон онлайн в HD,The Act,"Благодаря креслу-каталке молодая и трогательная Джипси Бланшар может передвигаться. Девчонка парализована. Сказывается болезнь, сопровождающаяся смертельно опасной аллергией на сахар. К несчастью, другие симптомы - патологическая худоба, облысение, нарушившееся зрение, стоматологические проблемы. Героиня проекта «Акт 1 сезон» привыкла носить очки, принимать медпрепараты, проходить бесконечные медобследования, терпеть болезненные уколы и процедуры с подобием капельницы. Даже благотворительные деньги мало спасают отчаявшуюся девчонку от тоски.
Мать переезжает с несчастной инвалидкой в новый район. Больной трудно адаптироваться. Хочется найти друзей. Патология здесь - непреодолимое ограничение. Девчонка хочет разорвать адские отношения с нереально строгой матерью Ди-Ди. Иногда опекуншу хочется убить. Произошла вершина конфликта. Дочь, позабыв недуг и используя скайп, переговаривалась с бойфрендом, полюбившим её как собеседницу, личность. Взрослеющей хотелось любви, секса. Зверская мать запретила подопечной общаться с парнем. Однажды даже связала, чтобы доступ к вожделенному ноутбуку перекрывался. Увеличивавшийся конфликт имел жуткие последствия.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/04df4b977084668bc78fd2088999eae6/iframe?season=1""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> Newstudio</div> </div>","Ужас,Сериалы 2019,Драма,Криминал,",http://hdkino.vip/_dr/4/94334544.jpg,Serials,2019,60 мин.,"Патриция Аркетт, Джои Кинг, Хлоя Севиньи, Анна-София Робб, Кэлам Уорси, Джинни Камерон, Стив Култер","Лор де Клермон-Тоннер, Стивен Пит, Адам Аркин",США,,Newstudio,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/woAaEx9EAb4"" width=""100%""></iframe>"
Чёрный список 6 сезон онлайн в HD,The Blacklist,"Преступники убили мужа Лиз, чтобы разобраться в ситуации и наказать зачинщиков вдова отдает дочурку под присмотр свекрови и отправляется на поиск. Девушка узнает много неприятных вещей о близких родственниках, души которых покрылись черствой коркой и каждый силится использовать красивость и притворство в собственных интересах ради достижения гадких целей, картина «Чёрный список» покажет, сможет ли героиня разгадать запутанную головоломку. Плуты не гнушаются идти на сделку с ФБР и сдавать подельников, преследуя выгодную заинтересованность и полагая, что такой метод является максимально выгодным для устранения конкурентов и врагов.
Получится ли у жуликов восстановить влияние и заявить о себе в преступном мире. Вскоре женщина нападает на след и готова уничтожить каждого, даже, если противником окажется близкий по крови человек. Долгое время особа не могла сложить пазлы, искала подсказки, боясь попасть мимо цели. Самостоятельно действовать становиться сложно, леди подключает сестру, в итоге выясняется, что человек длительное время выдававший себя за родителя оказался самозванцем. К сожалению, доказательства упрятаны далеко, и найти их не просто, сколько еще убийств будет совершено, пока милые дамочки не докопаются до корня зла, чтобы остановить навсегда безумство.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/49abf798e18454a571dfdfc67a19f81c/iframe?season=6""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac""> LostFilm</div> </div>","Детектив,Сериалы 2019,Драма,Криминал,Триллер,",http://hdkino.vip/_dr/4/70842032.jpg,Serials,2019,43 мин.,"Джеймс Спэйдер, Меган Бун, Диего Клаттенхофф, Гарри Дж. Ленникс, Райан Игголд, Ильфенеш Хадера, Чарльз Бэйкер, Александр Блэйз, Роман Блат, Эрик Борк, Павел Личникофф","Майкл В. Уоткинс, Стив Эделсон, Эндрю МакКарти",США,,LostFilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/isz2gUlWptE"" width=""100%""></iframe>"
Тайная власть 2 сезон онлайн в HD,Deep State,"Суровый и хмурый экс-сотрудник МИ-6 Истон возвращается служить, чтобы, пользуясь возможностями, отомстить могущественным людям, причастным к гибели сына. Силовик вынужден оказаться в эпицентре неизвестных обывателям теневых войн спецслужб и циничного заговора богатых фигур, цель которого - заработать на хаосе, посеянном на Ближнем Востоке. Ветеран увидит мрачную мощь, которой обладает закулисная борьба элит.  Ввязавшемуся в бой герою проекта «Тайная власть 2 сезон» предстоит выполнить последнюю миссию. Служивый вспомнит подзабытые навыки.
Его ждут кровавые драки, разрушительные погони, угрожающие взрывы, практически безостановочная пальба, экшн по всему миру. Агент освежит в памяти, как эффективнее пытать допрашиваемых и орудовать дальнобойной снайперской винтовкой. Мужчина, погрязший в наполненных обманом войнах, тоскливо вспоминает счастливое спокойствие с семьёй. Этот законник - не единственный вляпавшийся в теневые игры спецслужб и прочих представителей элиты. Другой яркий пример - экс-ЦРУшник Миллер. Методы политиков и олигархов, использующих войны для личных выгод, становятся всё циничнее и особенно ярко проявляются в Мали и в эпических пейзажах возле Сахары.
",0,"<div class=""player-output""> <iframe src=""http://cdn.filmtybe.pl/serial/f600ba8fed91c24a5b6f157491ca68ff/iframe?season=2""frameborder=""0"" width=""100%"" height=""500px""></iframe><div class=""tac"">Coldfilm</div> </div>","Боевик,Сериалы 2019,Драма,Триллер,",http://hdkino.vip/_dr/5/15027147.jpg,Serials,2019,50 мин.,"Уолтон Гоггинс, Марк Стронг, Джозеф Демпси, Карима Эдебайб, Лайн Рени, Анастасия Гриффит, Алистэр Петри, Амелия Баллмор, Кингсли Бен-Адир, Зубин Варла, Мел Райдо","Роберт Коннолли, Мэттью Паркхилл",Великобритания,,Coldfilm,"<iframe allowfullscreen="""" frameborder=""0"" height=""450px"" src=""https://www.youtube.com/embed/u7AKONRjgt0"" width=""100%""></iframe>"
